ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_186,"Web Development","Which HTML tag is used to define a large heading?","{code}","<invalid>","<h1>","[link]","<h1>","HTML tags start with < and end with >."
q_187,"ICT Applications","The term 'Robotics in Industry' is associated with which field?","Networking","Data Representation","ICT Applications","Logic Gates","ICT Applications","Think about how technology helps society."
q_188,"Web Development","Which HTML tag is used to embed an image?","{code}","<invalid>","[link]","<img>","<img>","HTML tags start with < and end with >."
q_189,"Networking","Which term is related to computer networking?","Printer","DNS","Monitor","Keyboard","DNS","It relates to connectivity or web addresses."
q_190,"Health/Security","Which of the following is a cyber security threat?","Backup","Firewall","Phishing","Antivirus","Phishing","Threats are malicious software or attacks."
q_191,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","System32","Login","Integer","Integer","It is part of Pascal language keywords."
q_192,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","If..Then","Login","System32","If..Then","It is part of Pascal language keywords."
q_193,"Databases","In a database, what does the term 'Table' refer to?","A web browser","A database structural element","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_194,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","USB","NOT","SSD","NOT","Logic gates operate on TRUE/FALSE values."
q_195,"Hardware","Which of the following is classified as an Input Device?","Laser Printer","Barcode Reader","Speaker","Plotter","Barcode Reader","Input devices send data INTO the computer."
q_196,"Web Development","Which HTML tag is used to define the document body?","{code}","<body>","[link]","<invalid>","<body>","HTML tags start with < and end with >."
q_197,"Databases","In a database, what does the term 'Field' refer to?","A hardware port","A database structural element","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_198,"Web Development","Which HTML tag is used to define the root of an HTML document?","{code}","<html>","<invalid>","[link]","<html>","HTML tags start with < and end with >."
q_199,"Hardware","Find the Input Device from the list below:","Plotter","Keyboard","Speaker","Inkjet Printer","Keyboard","Input devices send data INTO the computer."
q_200,"Networking","Which term is related to computer networking?","Printer","Cloud Computing","Monitor","Keyboard","Cloud Computing","It relates to connectivity or web addresses."
q_201,"Web Development","Which HTML tag is used to create a hyperlink?","<a>","<invalid>","{code}","[link]","<a>","HTML tags start with < and end with >."
q_202,"Web Development","Which HTML tag is used to define the document body?","<body>","[link]","{code}","<invalid>","<body>","HTML tags start with < and end with >."
q_203,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Deployment","Printing","Data Entry","Deployment","It is a step in building software."
q_204,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","WiFi","For..Do","System32","For..Do","It is part of Pascal language keywords."
q_205,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","NAND","USB","BIOS","NAND","Logic gates operate on TRUE/FALSE values."
q_206,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","WiFi","While..Do","Login","While..Do","It is part of Pascal language keywords."
q_207,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Electronic Transactions Act","Housing Act","Traffic Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_208,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Printing","Data Entry","Implementation/Coding","Implementation/Coding","It is a step in building software."
q_209,"Health/Security","Which of the following is a cyber security threat?","Backup","Spam","Antivirus","Firewall","Spam","Threats are malicious software or attacks."
q_210,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","Binary Logic","CPU Architecture","Tele-medicine","Tele-medicine","Think about how technology helps society."
q_211,"Databases","In a database, what does the term 'Record' refer to?","A web browser","A database structural element","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_212,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","System32","WiFi","Program","Login","Program","It is part of Pascal language keywords."
q_213,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","System Design","Printing","Data Entry","System Design","It is a step in building software."
q_214,"Hardware","Which generation of computers is associated with Integrated Circuits (3rd Gen)?","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Vacuum Tubes (1st Gen)","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Input devices send data INTO the computer."
q_215,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","NOR","SSD","BIOS","NOR","Logic gates operate on TRUE/FALSE values."
q_216,"Operating Systems","Which utility software is essential for system maintenance?","MS Word","Chrome","Antivirus","Photoshop","Antivirus","Think about managing resources and maintenance."
q_217,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Login","System32","WiFi","Integer","Integer","It is part of Pascal language keywords."
q_218,"ICT Applications","The term 'ATM' is associated with which field?","Networking","Logic Gates","ICT Applications","Data Representation","ICT Applications","Think about how technology helps society."
q_219,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","NAND","BIOS","USB","NAND","Logic gates operate on TRUE/FALSE values."
q_220,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Transistors (2nd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_221,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Volt","Pixel","Gigabyte (GB)","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_222,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Traffic Act","Housing Act","Forest Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_223,"Hardware","Find the Input Device from the list below:","Keyboard","Plotter","Plotter","Speaker","Keyboard","Input devices send data INTO the computer."
q_224,"Networking","Which term is related to computer networking?","Printer","Monitor","Keyboard","IP Address","IP Address","It relates to connectivity or web addresses."
q_225,"ICT Applications","Which of the following is a common application of ICT in modern society?","CPU Architecture","Binary Logic","Pascal Syntax","Smart Agriculture","Smart Agriculture","Think about how technology helps society."
q_226,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Intellectual Property Act","Traffic Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_227,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","MS Word","Disk Formatting","Photoshop","Disk Formatting","Think about managing resources and maintenance."
q_228,"Health/Security","Which of the following is a cyber security threat?","Phishing","Firewall","Antivirus","Backup","Phishing","Threats are malicious software or attacks."
q_229,"Operating Systems","What is a primary function of an Operating System?","Process Management","Photo Editing","Emailing","Web Browsing","Process Management","Think about managing resources and maintenance."
q_230,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Antivirus","MS Word","Chrome","Antivirus","Think about managing resources and maintenance."
q_231,"Databases","In a database, what does the term 'Report' refer to?","A database structural element","A web browser","A network protocol","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
